user,text,date,likes,original_id
1610294218869669888,@grrls_sxy_shoes @SBMcCallister @DJJakeJ @CollegeBoard @BLM @PEstakeholder Nancy Wood https://t.co/SP2j1nXcBT,2023-02-21T13:47:02.000Z,2,1628028525662900228
48398499,"Sound critique by @anndaraabrams: “We have endowed @CollegeBoard with the power to shape millions of minds with its profitable exams. In turn, it holds students hostage for college tuition, stifles teachers &amp; destroys space for debating difficult topics.”  https://t.co/X9Q6HjjcSG",2023-02-24T21:38:37.000Z,4,1629234366894178304
130617778,"@CollegeBoard Nice job folding to DeSantis. If you'd like to be taken seriously again, shut down all your courses and exams in Florida. Break the fascists, or they will break you.",2023-02-20T19:50:56.000Z,18,1627757714678992902
881242368,@Brandon_Hubbard @GovRonDeSantis @RonDeSantisFL @CollegeBoard https://t.co/TDwdmsJLro,2023-02-20T19:47:40.000Z,0,1627756892947906561
760841828715237376,LOL @CollegeBoard - maybe not the most trustworthy source when it comes to elevating Black voices in education right now #emchat #scchat https://t.co/MwKAE7APDR,2023-02-21T19:44:28.000Z,0,1628118478174535682
50669520,"#DeSantis attack on @APforStudents @CollegeBoard isn't just an attack on academic freedom, it could cost millions of students and parents money for college! @Dr_CMGreer @FordhamNYC @MorganStateU https://t.co/kK05sI8RaJ",2023-02-27T15:00:03.000Z,49,1630221226869178368
1629354476661362688,#Klarda #Galxe #NFT  https://t.co/QgfRvYDg60   @JGreenblattADL  @CollegeBoard  @RobDotHutton,2023-02-25T05:42:34.000Z,0,1629356157792919552
1536081964393910272,Collegeboard emailing me about mental health has to be the funniest fucking shit ever.,2023-02-25T00:13:56.000Z,0,1629273452531298305
870698449028632576,@cdub2024 Get ready for your School Day SAT!  #goodluck @CollegeBoard https://t.co/mkVf5Pe944,2023-02-27T15:05:14.000Z,0,1630222533478830080
77762425,"@melofagoodtime @athack97 @jt1anglais @GavinNewsom @CollegeBoard I'm of mixed race with ancestors who perished in Lithuania and Belarus during Hitlers genocide. I dont fit in any box. Hence, your worst nightmare 🤷🏽‍♀️",2023-02-25T07:51:41.000Z,0,1629388649854013443
1629041092690870272,"Can I DM you for help? I contacted customer service, but even though she did her best, my problem did not solve  @CollegeBoard",2023-02-24T08:56:03.000Z,0,1629042461296455680
1573400578436132866,@ctrlteez FUCK COLLEGEBOARD OMG 😭😭😭😭 ONLY FOUR MONTHS TILL IM FREE FROM THEM AND HIGH SCHOOL FOREVER !!!!!!,2023-02-22T22:17:45.000Z,1,1628519437656788992
1094400159692271616,@ChristinaPushaw @CollegeBoard So DeSantis thinks he's General Patton? https://t.co/lKL2OxTcQ0,2023-02-21T19:41:40.000Z,0,1628117771081945100
1230124060874436608,College students!!!   Stop buying textbooks from your college bookstores! Textbooks are just a form of planned obsolescence. There are other ways to find other cheaper used or new textbooks.*  @Scholastic @CengageLearning @CollegeBoard https://t.co/tetSAoJnTe,2023-02-24T20:44:15.000Z,1,1629220685162610688
3064649069,Boonton High School is proud to be a recipient of @CollegeBoard's Female Diversity Award for AP Computer Science Principles! Did you know that female students who take #APCSP in high school are more than five times as likely to major in #computerscience in college? https://t.co/DltG6qVtrt,2023-02-23T20:30:18.000Z,2,1628854787016908802
1587269633786056704,collegeboard texting me like i'm their friend or some shit is so funny bro,2023-02-20T20:40:31.000Z,4,1627770195636011008
